Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,53400,2264,43740,7396,68,4.24,81.91,5.18,38928341,1372.0,51526,1874,3.64
Albania,63033,1233,37327,24473,655,1.96,59.22,3.3,2877800,21903.0,58991,4042,6.85
Algeria,101913,2803,69011,30099,256,2.75,67.72,4.06,43851043,2324.0,100159,1754,1.75
Andorra,8586,85,7724,777,97,0.99,89.96,1.1,77265,111124.0,8166,420,5.14
Angola,18156,416,13205,4535,90,2.29,72.73,3.15,32866268,552.0,17608,548,3.11
Antigua and Barbuda,169,5,152,12,2,2.96,89.94,3.29,97928,1726.0,159,10,6.29
Argentina,1714409,44417,1504330,165662,11057,2.59,87.75,2.95,45195777,37933.0,1634834,79575,4.87
Armenia,161794,2922,148893,9979,379,1.81,92.03,1.96,2963234,54600.0,159798,1996,1.25
Australia,28595,909,25827,1859,13,3.18,90.32,3.52,50919400,562.0,28484,111,0.39
Austria,379071,6687,351382,21002,2278,1.76,92.7,1.9,9006400,42089.0,364302,14769,4.05
Azerbaijan,224050,2890,207088,14072,633,1.29,92.43,1.4,10139175,22097.0,219462,4588,2.09
Bahamas,7969,175,6313,1481,0,2.2,79.22,2.77,393248,20265.0,7887,82,1.04
Bahrain,95317,355,92113,2849,287,0.37,96.64,0.39,1701583,56017.0,93184,2133,2.29
Bangladesh,521382,7756,466064,47562,692,1.49,89.39,1.66,164689383,3166.0,515184,6198,1.2
Barbados,808,7,373,428,28,0.87,46.16,1.88,287371,2812.0,395,413,104.56
Belarus,210368,1507,192620,16241,1767,0.72,91.56,0.78,9449321,22263.0,198125,12243,6.18
Belgium,662694,20038,0,642656,1991,3.02,0.0,10.080641711229944,23021022,28786.0,649169,13525,2.08
Belize,11266,271,10386,609,64,2.41,92.19,2.61,397621,28334.0,10807,459,4.25
Benin,3304,44,3185,75,0,1.33,96.4,1.38,12123198,273.0,3251,53,1.63
Bhutan,810,1,459,350,39,0.12,56.67,0.22,771612,1050.0,710,100,14.08
Bolivia,172798,9351,137704,25743,1644,5.41,79.69,6.79,11673029,14803.0,162055,10743,6.63
Bosnia and Herzegovina,115379,4305,81325,29749,459,3.73,70.49,5.29,3280815,35168.0,112143,3236,2.89
Botswana,16050,48,12927,3075,0,0.3,80.54,0.37,2351625,6825.0,14805,1245,8.41
Brazil,8075998,202631,7205410,667957,62290,2.51,89.22,2.81,422706534,19105.0,7716405,359593,4.66
Brunei,173,3,153,17,0,1.73,88.44,1.96,437483,395.0,157,16,10.19
Bulgaria,208406,8097,134564,65745,394,3.89,64.57,6.02,6948445,29993.0,202880,5526,2.72
Burkina Faso,7866,89,5710,2067,0,1.13,72.59,1.56,20903278,376.0,6940,926,13.34
Burma,130049,2826,113550,13673,566,2.17,87.31,2.49,54409800,2390.0,125616,4433,3.53
Burundi,885,2,773,110,0,0.23,87.34,0.26,11890781,74.0,822,63,7.66
Cabo Verde,12316,114,11731,471,79,0.93,95.25,0.97,555988,22152.0,11883,433,3.64
Cambodia,391,0,371,20,4,0.0,94.88,0.0,16718971,23.0,381,10,2.62
Cameroon,26848,448,24892,1508,0,1.67,92.71,1.8,26545864,1011.0,26848,0,0.0
Canada,657323,16869,558594,81860,8393,2.57,84.98,3.02,75750184,8678.0,589935,67388,11.42
Central African Republic,4969,63,4885,21,0,1.27,98.31,1.29,4829764,1029.0,4963,6,0.12
Chad,2510,107,1962,441,91,4.26,78.17,5.45,16425859,153.0,2169,341,15.72
Chile,637742,17037,599604,21101,4361,2.67,94.02,2.84,36692988,17380.0,615902,21840,3.55
China,96690,4791,90630,1269,128,4.96,93.73,5.29,-2147483648,-45.0,96086,604,0.63
Colombia,1771363,45784,1609564,116015,15795,2.58,90.87,2.84,99141018,17867.0,1666408,104955,6.3
Comoros,1150,18,860,272,100,1.57,74.78,2.09,869595,1322.0,864,286,33.1
Congo (Brazzaville),7127,108,5846,1173,0,1.52,82.03,1.85,89561403,80.0,7107,20,0.28
Congo (Kinshasa),19159,611,14743,3805,190,3.19,76.95,4.14,5518087,3472.0,17998,1161,6.45
Costa Rica,177614,2305,136083,39226,0,1.3,76.62,1.69,5094114,34867.0,169321,8293,4.9
Cote d'Ivoire,23482,139,22411,932,228,0.59,95.44,0.62,26378274,890.0,22563,919,4.07
Croatia,219347,4342,209207,5798,1401,1.98,95.38,2.08,4105268,53431.0,212262,7085,3.34
Cuba,14188,148,11682,2358,365,1.04,82.34,1.27,11326616,1253.0,12225,1963,16.06
Cyprus,27011,147,2057,24807,337,0.54,7.62,7.15,1207361,22372.0,23445,3566,15.21
Czechia,822716,12978,654008,155730,13115,1.58,79.49,1.98,10708981,76825.0,735469,87247,11.86
Denmark,180915,1543,151556,27816,1745,0.85,83.77,1.02,5897840,30675.0,168182,12733,7.57
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,15863.989417989418,712,0,0.0
Djibouti,5866,61,5774,31,1,1.04,98.43,1.06,988002,5937.0,5841,25,0.43
Dominica,106,0,98,8,0,0.0,92.45,0.0,71991,1472.0,88,18,20.45
Dominican Republic,180644,2424,137098,41122,2106,1.34,75.89,1.77,10847904,16652.0,172965,7679,4.44
Ecuador,220349,14177,190350,15822,1201,6.43,86.39,7.45,17643060,12489.0,214513,5836,2.72
Egypt,148799,8142,118294,22363,989,5.47,79.5,6.88,102334403,1454.0,140878,7921,5.62
El Salvador,48574,1408,43134,4032,319,2.9,88.8,3.26,6486201,7489.0,45960,2614,5.69
Equatorial Guinea,5289,86,5154,49,0,1.63,97.45,1.67,1402985,3770.0,5277,12,0.23
Eritrea,1556,6,740,810,0,0.39,47.56,0.81,3546427,439.0,1320,236,17.88
Estonia,33089,278,22752,10059,552,0.84,68.76,1.22,1326539,24944.0,28789,4300,14.94
Eswatini,11180,291,7592,3297,205,2.6,67.91,3.83,1160164,9637.0,9711,1469,15.13
Ethiopia,127792,1985,113295,12512,220,1.55,88.66,1.75,114963583,1112.0,125049,2743,2.19
Fiji,53,2,44,7,0,3.77,83.02,4.55,896444,59.0,49,4,8.16
Finland,38392,586,31000,6806,324,1.53,80.75,1.89,5540718,6929.0,36604,1788,4.88
France,2824920,67734,208090,2549096,20177,2.4,7.37,32.55,68151730,41450.0,2700480,124440,4.61
Gabon,9694,66,9498,130,0,0.68,97.98,0.69,2225728,4355.0,9571,123,1.29
Gambia,3841,125,3677,39,3,3.25,95.73,3.4,2416664,1589.0,3800,41,1.08
Georgia,238086,2750,224718,10618,2058,1.16,94.39,1.22,3989175,59683.0,228752,9334,4.08
Germany,1928462,40597,1546206,341659,22824,2.11,80.18,2.63,166803158,11561.0,1773540,154922,8.74
Ghana,55772,336,54438,998,311,0.6,97.61,0.62,31072945,1795.0,55064,708,1.29
Greece,144293,5227,93764,45302,799,3.62,64.98,5.57,10423056,13844.0,139709,4584,3.28
Grenada,127,1,107,19,0,0.79,84.25,0.93,112519,1129.0,127,0,0.0
Guatemala,143127,4999,130549,7579,1063,3.49,91.21,3.83,17915567,7989.0,138316,4811,3.48
